date,cases_new,deaths_new,cases_new_lag7,cases_new_lag14,cases_new_7d_avg
2021-10-15,7420,89.0,9751.0,11889.0,7650.714285714285
2021-12-23,3510,44.0,4262.0,5446.0,3473.0
2021-09-05,20396,336.0,20579.0,19807.0,19820.85714285714
2021-09-08,19733,361.0,18762.0,22642.0,19350.14285714286
2021-08-02,15764,219.0,14516.0,10972.0,16890.285714285714
2021-12-19,3108,19.0,3490.0,4298.0,3902.285714285714
2021-08-30,19268,294.0,17672.0,19740.0,21798.85714285714
2021-10-03,9066,118.0,13104.0,14954.0,11332.857142857143
2021-12-03,5551,17.0,5501.0,6355.0,5014.0
2021-11-01,4626,63.0,4782.0,5434.0,5681.428571428572
2021-08-08,18688,360.0,17150.0,17045.0,18874.0
2021-11-06,4701,54.0,5854.0,5828.0,5043.285714285715
2021-11-21,4854,24.0,5162.0,4343.0,5756.0
2021-07-29,17170,174.0,13034.0,13215.0,16246.857142857143
2021-12-01,5439,49.0,5755.0,6288.0,5055.142857142857
2021-11-23,5594,47.0,5413.0,5403.0,5745.0
2021-10-01,11889,121.0,14554.0,17577.0,12336.0
2021-09-11,19550,592.0,19057.0,22597.0,19437.285714285714
2021-11-26,5501,45.0,6355.0,6517.0,5513.142857142857
2021-08-26,24599,393.0,22948.0,21668.0,21626.14285714286
2021-09-07,18547,311.0,20897.0,20837.0,19211.428571428572
2021-11-24,5755,37.0,6288.0,6243.0,5668.857142857143
2021-08-23,17672,174.0,19740.0,17236.0,21160.85714285714
2021-08-21,22262,223.0,20670.0,19257.0,21561.85714285714
2021-11-29,4087,61.0,4885.0,5143.0,5202.428571428572
2021-10-18,5434,72.0,6709.0,8075.0,7116.857142857143
2021-10-16,7509,88.0,8743.0,10915.0,7474.428571428572
2021-10-21,6210,96.0,8084.0,9890.0,6282.714285714285
2021-09-06,17352,272.0,19268.0,17672.0,19547.14285714286
