date,cases_new,deaths_new,cases_new_lag7,cases_new_lag14,cases_new_7d_avg
2021-10-31,4979,36.0,5666.0,6145.0,5703.714285714285
2021-10-23,5828,42.0,7509.0,8743.0,5929.714285714285
2021-11-18,6380,55.0,6323.0,5713.0,5816.0
2022-01-10,2641,18.0,2690.0,2757.0,3116.5714285714284
2021-12-18,4083,29.0,4626.0,4896.0,3956.8571428571427
2021-09-14,15669,463.0,18547.0,20897.0,18672.285714285714
2021-12-04,4896,36.0,5097.0,5859.0,4985.285714285715
2021-09-28,11332,240.0,15759.0,15669.0,13227.42857142857
2021-10-10,7373,64.0,9066.0,13104.0,8861.285714285714
2021-08-31,20897,282.0,20837.0,19631.0,21807.428571428572
2022-01-04,2842,31.0,2897.0,3140.0,3293.285714285714
2021-11-30,4879,55.0,5594.0,5413.0,5100.285714285715
2021-12-08,5020,28.0,5439.0,5755.0,4971.142857142857
2021-09-29,12434,208.0,14990.0,19495.0,12862.285714285714
2022-01-13,3684,12.0,3543.0,3997.0,3174.0
2021-11-10,6243,59.0,5291.0,6148.0,5124.0
2021-12-16,4262,37.0,5446.0,5806.0,4133.857142857143
2021-09-20,14345,301.0,16073.0,17352.0,16629.14285714286
2021-08-03,17105,195.0,16117.0,12366.0,17031.428571428572
2021-11-28,4239,29.0,4854.0,5162.0,5316.428571428572
2021-08-01,17150,160.0,17045.0,10710.0,16712.0
2022-01-02,2882,19.0,2778.0,3108.0,3310.714285714286
2021-09-16,18815,346.0,19307.0,20988.0,18568.0
2021-09-02,20988,249.0,24599.0,22948.0,20737.285714285714
2021-10-17,6145,63.0,7373.0,9066.0,7299.0
2021-10-14,8084,88.0,9890.0,12735.0,7983.714285714285
2021-09-01,18762,278.0,22642.0,22242.0,21253.14285714286
2021-09-13,16073,413.0,17352.0,19268.0,19083.428571428572
2021-08-05,20596,164.0,17170.0,13034.0,17865.714285714286
